id	alter	zivilstand	geschlecht	pihh	kaufkraft	einkauf
58	57	Single	Mann	1	hoch	11569
60	64	Verheiratet	Mann	2	sehr hoch	16627
61	58	Single	Frau	1	hoch	14229
62	64	Verheiratet	Mann	2	sehr hoch	26386
63	41	Konkubinat	Mann	3	mittel	3187
64	66	Konkubinat	Frau	2	sehr hoch	21966
65	68	Single	Mann	1	hoch	12730
66	58	Single	Frau	1	mittel	6264
67	41	Verheiratet	Mann	7	tief	2098
68	83	Verheiratet	Mann	2	hoch	17201
69	61	Verheiratet	Mann	2	hoch	12787
70	62	Verheiratet	Mann	3	hoch	14305
72	64	Verheiratet	Mann	2	hoch	11595
74	56	Verheiratet	Mann	3	hoch	10508
75	62	Konkubinat	Mann	2	sehr hoch	13775
76	55	Single	Mann	1	sehr hoch	19394
77	45	Konkubinat	Mann	5	hoch	12800
78	66	Single	Mann	1	sehr hoch	29083
79	65	Verheiratet	Frau	4	sehr hoch	19618
80	54	Verheiratet	Mann	3	sehr hoch	22138
82	84	Verheiratet	Mann	2	hoch	7611
83	49	Verheiratet	Mann	3	hoch	8388
85	58	Verheiratet	Mann	2	sehr hoch	13445
86	59	Single	Mann	1	hoch	14984
87	57	Single	Frau	1	hoch	7567
88	89	Single	Frau	1	mittel	7149
89	49	Verheiratet	Mann	4	mittel	8706
90	62	Verheiratet	Mann	2	sehr hoch	20240
91	63	Verheiratet	Mann	5	sehr hoch	19993
92	37	Single	Frau	1	mittel	3615
93	40	Verheiratet	Mann	2	hoch	11343
96	57	Konkubinat	Mann	1	sehr hoch	16467
97	60	Verheiratet	Mann	3	sehr hoch	22091
98	55	Verheiratet	Frau	2	sehr hoch	27386
100	50	Verheiratet	Mann	4	sehr hoch	17359
101	59	Verheiratet	Mann	4	sehr hoch	31296
102	63	Konkubinat	Mann	2	tief	1484
103	45	Single	Frau	1	hoch	10481
105	52	Single	Mann	1	sehr hoch	19886
106	52	Konkubinat	Mann	3	hoch	3977
107	56	Verheiratet	Mann	2	sehr hoch	18631
108	64	Single	Frau	1	hoch	18090
109	54	Verheiratet	Mann	8	sehr hoch	25219
110	73	Verheiratet	Mann	2	sehr hoch	27832
111	50	Konkubinat	Mann	3	sehr hoch	20629
113	64	Verheiratet	Mann	3	sehr hoch	22739
114	53	Konkubinat	Mann	2	mittel	7329
116	66	Verheiratet	Mann	2	hoch	10165
117	66	Konkubinat	Mann	1	sehr hoch	28367
120	52	Verheiratet	Mann	4	hoch	13894
121	85	Verheiratet	Mann	5	mittel	4915
123	74	Verheiratet	Mann	2	hoch	13965
124	85	Verheiratet	Mann	3	mittel	5515
128	77	Verheiratet	Mann	3	mittel	4798
129	58	Verheiratet	Mann	2	hoch	10746
130	51	Verheiratet	Mann	2	mittel	5220
131	82	Verheiratet	Mann	2	mittel	6766
133	86	Verheiratet	Mann	7	sehr hoch	20098
134	50	Verheiratet	Mann	2	sehr hoch	9956
136	46	Verheiratet	Mann	3	hoch	9203
137	60	Verheiratet	Mann	1	hoch	16664
138	56	Verheiratet	Mann	5	hoch	19032
140	47	Single	Mann	1	hoch	14012
142	67	Konkubinat	Mann	3	hoch	13300
143	46	Single	Frau	1	hoch	12163
147	77	Konkubinat	Mann	3	sehr hoch	26570
148	43	Konkubinat	Mann	5	mittel	5546
149	68	Verheiratet	Mann	4	hoch	11686
151	44	Konkubinat	Mann	2	sehr hoch	17837
153	77	Single	Mann	1	hoch	8045
158	73	Konkubinat	Mann	3	hoch	7486
159	50	Konkubinat	Mann	2	sehr hoch	15136
160	58	Single	Frau	1	hoch	10266
162	77	Verheiratet	Mann	1	hoch	12187
163	66	Single	Frau	1	hoch	11369
164	63	Verheiratet	Mann	2	mittel	4186
165	63	Verheiratet	Mann	2	hoch	14403
166	54	Verheiratet	Mann	2	mittel	7450
168	54	Verheiratet	Mann	4	sehr hoch	28017
170	83	Konkubinat	Mann	2	sehr hoch	23009
172	63	Konkubinat	Mann	2	sehr hoch	19049
173	60	Verheiratet	Mann	3	sehr hoch	12809
174	68	Single	Mann	1	hoch	6878
179	79	Verheiratet	Mann	3	sehr hoch	21107
181	87	Verheiratet	Mann	2	sehr hoch	18216
182	52	Konkubinat	Mann	2	hoch	8753
184	64	Verheiratet	Mann	2	hoch	13480
185	62	Konkubinat	Mann	2	hoch	9143
187	57	Single	Mann	1	sehr hoch	9122
188	49	Verheiratet	Mann	2	sehr hoch	17047
190	68	Single	Frau	1	sehr hoch	19367
191	47	Verheiratet	Mann	5	sehr hoch	22104
193	43	Verheiratet	Mann	3	mittel	4950
195	79	Single	Mann	1	sehr hoch	18272
196	58	Verheiratet	Mann	2	hoch	6933
197	66	Konkubinat	Mann	5	sehr hoch	17111
198	65	Konkubinat	Frau	3	hoch	14225
199	67	Konkubinat	Mann	2	sehr hoch	17677
200	80	Verheiratet	Mann	2	sehr hoch	22202
201	83	Verheiratet	Mann	2	sehr hoch	18745
204	49	Verheiratet	Mann	4	hoch	15292
205	54	Konkubinat	Mann	5	mittel	5223
206	35	Verheiratet	Frau	8	tief	5050
207	69	Verheiratet	Mann	2	sehr hoch	23154
208	58	Verheiratet	Mann	2	hoch	7560
209	81	Verheiratet	Mann	2	hoch	8739
210	47	Konkubinat	Mann	2	sehr hoch	14803
211	61	Verheiratet	Mann	2	mittel	2930
212	64	Single	Frau	1	mittel	6883
214	77	Verheiratet	Mann	2	sehr hoch	21210
215	35	Konkubinat	Mann	2	mittel	3794
216	69	Single	Mann	1	mittel	3263
217	66	Verheiratet	Mann	2	sehr hoch	26908
218	89	Verheiratet	Mann	2	sehr hoch	30589
219	66	Single	Mann	1	hoch	8572
223	75	Konkubinat	Mann	2	hoch	17037
225	63	Single	Frau	1	sehr hoch	21118
226	88	Verheiratet	Mann	1	hoch	10435
227	71	Konkubinat	Frau	6	mittel	5945
228	81	Verheiratet	Mann	2	sehr hoch	25326
229	61	Verheiratet	Mann	4	hoch	8634
231	56	Single	Frau	1	hoch	19666
232	66	Single	Frau	1	hoch	12580
233	61	Verheiratet	Mann	2	sehr hoch	27280
234	47	Single	Frau	1	mittel	4739
235	62	Single	Frau	1	hoch	14884
236	61	Single	Frau	1	sehr hoch	31719
237	76	Single	Mann	1	mittel	1525
238	31	Single	Frau	1	tief	330
239	81	Verheiratet	Mann	2	sehr hoch	17078
241	62	Single	Frau	1	mittel	4572
242	63	Verheiratet	Mann	2	sehr hoch	15799
245	63	Konkubinat	Mann	5	sehr hoch	16551
247	39	Konkubinat	Frau	3	tief	3286
248	72	Verheiratet	Mann	2	sehr hoch	17256
249	54	Verheiratet	Mann	6	hoch	13338
252	79	Single	Mann	1	hoch	16225
254	55	Verheiratet	Frau	3	sehr hoch	29490
255	56	Konkubinat	Frau	1	mittel	3383
257	45	Verheiratet	Mann	2	hoch	10562
258	36	Verheiratet	Mann	4	mittel	5069
260	46	Konkubinat	Mann	5	mittel	4985
261	46	Single	Frau	1	tief	1810
263	67	Verheiratet	Mann	3	mittel	4776
267	56	Verheiratet	Mann	2	sehr hoch	14243
268	81	Konkubinat	Mann	2	hoch	15633
270	85	Konkubinat	Mann	3	hoch	6778
271	30	Konkubinat	Mann	2	mittel	2727
272	66	Verheiratet	Mann	2	mittel	5809
273	82	Verheiratet	Mann	2	sehr hoch	15705
274	60	Verheiratet	Mann	5	mittel	6394
276	34	Verheiratet	Mann	5	mittel	7486
279	46	Konkubinat	Frau	2	tief	2346
280	82	Single	Frau	1	mittel	6100
281	67	Verheiratet	Mann	2	mittel	7630
282	56	Konkubinat	Frau	3	mittel	5470
284	90	Konkubinat	Mann	2	sehr hoch	25375
286	64	Konkubinat	Mann	2	sehr hoch	21110
290	73	Single	Frau	1	mittel	8034
292	90	Konkubinat	Mann	2	sehr hoch	25738
293	69	Konkubinat	Mann	6	tief	2614
294	44	Verheiratet	Mann	3	sehr hoch	15020
295	42	Single	Mann	1	mittel	3357
301	44	Verheiratet	Mann	5	hoch	11782
303	48	Single	Frau	1	hoch	10508
304	39	Konkubinat	Mann	4	tief	2225
305	57	Verheiratet	Mann	2	hoch	10213
306	53	Konkubinat	Mann	4	sehr hoch	23929
307	86	Konkubinat	Mann	2	sehr hoch	26371
308	53	Verheiratet	Mann	4	hoch	13951
309	67	Konkubinat	Mann	3	sehr hoch	20231
310	58	Single	Mann	1	hoch	9878
311	36	Verheiratet	Mann	4	tief	2177
312	49	Verheiratet	Mann	3	mittel	5142
314	49	Single	Frau	1	hoch	20045
315	67	Verheiratet	Mann	3	hoch	14228
318	56	Verheiratet	Mann	4	hoch	12969
319	45	Verheiratet	Mann	4	hoch	9298
320	46	Single	Frau	1	tief	2588
321	69	Verheiratet	Mann	2	hoch	5548
322	39	Verheiratet	Mann	7	tief	2354
323	59	Verheiratet	Mann	2	sehr hoch	8282
324	62	Verheiratet	Mann	3	sehr hoch	9638
326	52	Verheiratet	Mann	2	mittel	7128
327	82	Verheiratet	Mann	2	hoch	16134
328	76	Single	Frau	1	sehr hoch	25981
331	40	Verheiratet	Mann	2	tief	1936
332	46	Verheiratet	Mann	4	hoch	17481
333	55	Konkubinat	Frau	2	sehr hoch	22001
334	41	Konkubinat	Mann	2	mittel	4688
335	62	Verheiratet	Mann	2	hoch	12088
336	45	Verheiratet	Mann	2	hoch	10823
337	55	Verheiratet	Mann	2	hoch	16258
338	57	Single	Frau	1	mittel	6093
339	72	Verheiratet	Mann	2	hoch	15265
340	48	Verheiratet	Mann	4	mittel	2363
342	87	Konkubinat	Mann	2	hoch	14384
343	36	Single	Frau	1	tief	1308
344	59	Konkubinat	Frau	2	hoch	12182
345	78	Single	Mann	1	hoch	8882
346	36	Konkubinat	Frau	2	hoch	11047
348	86	Single	Mann	1	sehr hoch	23486
349	61	Verheiratet	Mann	1	sehr hoch	12551
350	44	Verheiratet	Mann	4	mittel	6419
351	45	Konkubinat	Mann	2	mittel	4397
352	54	Verheiratet	Mann	7	mittel	4094
355	54	Single	Frau	1	tief	1441
356	65	Konkubinat	Frau	2	tief	2121
359	65	Verheiratet	Mann	2	hoch	15383
360	55	Verheiratet	Mann	3	sehr hoch	15894
361	65	Single	Frau	1	tief	1710
362	40	Konkubinat	Frau	3	sehr hoch	14772
364	48	Single	Frau	1	hoch	8518
365	75	Verheiratet	Mann	2	hoch	17977
366	65	Verheiratet	Mann	3	sehr hoch	21810
367	65	Konkubinat	Mann	4	sehr hoch	22104
368	61	Konkubinat	Mann	6	tief	2758
369	53	Single	Frau	1	mittel	4782
370	66	Verheiratet	Mann	2	sehr hoch	20928
371	45	Verheiratet	Mann	4	mittel	3153
372	49	Single	Mann	1	mittel	5768
373	60	Single	Frau	1	mittel	6361
374	62	Verheiratet	Mann	4	sehr hoch	15467
375	54	Konkubinat	Mann	2	hoch	1763
376	79	Single	Frau	1	hoch	13676
378	65	Verheiratet	Mann	8	hoch	17667
382	65	Verheiratet	Mann	2	sehr hoch	32465
383	61	Konkubinat	Mann	2	hoch	15059
384	49	Single	Mann	1	hoch	9104
385	47	Konkubinat	Mann	2	mittel	5652
386	69	Konkubinat	Mann	5	sehr hoch	19241
387	65	Verheiratet	Mann	3	sehr hoch	8194
388	78	Verheiratet	Mann	3	hoch	18256
389	42	Single	Frau	1	tief	2297
390	40	Verheiratet	Mann	2	mittel	6011
394	63	Verheiratet	Mann	2	sehr hoch	26033
397	64	Verheiratet	Mann	2	mittel	6218
398	72	Konkubinat	Mann	2	hoch	13172
400	35	Verheiratet	Frau	4	tief	1316
402	69	Single	Mann	1	sehr hoch	19223
404	84	Konkubinat	Mann	3	sehr hoch	28218
405	64	Verheiratet	Mann	2	sehr hoch	22976
406	50	Konkubinat	Mann	2	sehr hoch	19389
407	88	Verheiratet	Mann	2	mittel	5449
408	62	Konkubinat	Mann	2	sehr hoch	22981
409	51	Verheiratet	Frau	3	mittel	3984
410	49	Konkubinat	Mann	2	mittel	5959
411	57	Verheiratet	Mann	2	hoch	9083
412	63	Konkubinat	Mann	2	mittel	6901
413	45	Single	Frau	1	mittel	5099
415	62	Konkubinat	Mann	3	mittel	2185
419	63	Single	Mann	1	hoch	10769
420	77	Verheiratet	Mann	2	sehr hoch	16702
421	51	Single	Frau	1	hoch	4327
423	63	Konkubinat	Frau	2	hoch	15979
426	63	Verheiratet	Mann	2	mittel	4759
427	67	Verheiratet	Mann	2	hoch	13960
429	61	Single	Mann	1	hoch	10543
430	73	Single	Mann	1	mittel	3079
431	38	Single	Mann	1	tief	1143
432	60	Verheiratet	Mann	4	mittel	8097
433	61	Konkubinat	Mann	3	sehr hoch	18842
434	42	Verheiratet	Mann	4	hoch	7735
435	49	Konkubinat	Mann	3	hoch	10322
436	60	Verheiratet	Mann	2	hoch	14893
437	64	Verheiratet	Mann	2	sehr hoch	23260
438	64	Konkubinat	Mann	3	hoch	9466
439	88	Verheiratet	Frau	2	sehr hoch	24440
441	44	Konkubinat	Mann	2	mittel	2164
442	46	Verheiratet	Mann	5	hoch	9169
443	64	Konkubinat	Mann	4	sehr hoch	17226
444	79	Verheiratet	Frau	2	hoch	13800
445	46	Konkubinat	Mann	7	hoch	10815
447	78	Verheiratet	Mann	2	sehr hoch	3859
448	62	Konkubinat	Mann	2	sehr hoch	17762
449	62	Verheiratet	Frau	2	sehr hoch	19398
450	65	Konkubinat	Mann	2	sehr hoch	27575
451	44	Single	Frau	1	tief	1361
452	52	Konkubinat	Frau	2	mittel	3961
453	67	Konkubinat	Mann	2	hoch	9307
454	61	Verheiratet	Mann	3	mittel	4807
455	57	Single	Mann	1	hoch	15431
456	37	Verheiratet	Mann	4	mittel	7044
457	55	Single	Mann	1	hoch	3576
458	60	Verheiratet	Mann	2	sehr hoch	21844
459	59	Verheiratet	Mann	2	hoch	16287
462	45	Single	Mann	1	hoch	11978
463	31	Konkubinat	Mann	2	hoch	17432
464	59	Verheiratet	Mann	2	sehr hoch	20084
465	58	Konkubinat	Frau	2	hoch	7310
466	62	Single	Mann	1	hoch	7827
467	62	Single	Mann	1	hoch	13139
468	40	Verheiratet	Mann	5	mittel	6488
469	57	Verheiratet	Mann	7	hoch	9767
470	64	Konkubinat	Mann	2	hoch	15298
471	44	Verheiratet	Mann	3	tief	3406
472	59	Konkubinat	Frau	6	sehr hoch	19016
474	65	Konkubinat	Frau	1	hoch	12110
475	44	Verheiratet	Mann	3	mittel	4335
476	58	Konkubinat	Mann	3	hoch	14145
477	57	Konkubinat	Mann	6	hoch	7276
478	68	Konkubinat	Mann	2	mittel	3907
482	69	Single	Mann	1	mittel	4023
484	43	Single	Frau	1	mittel	7014
485	75	Single	Mann	1	hoch	4273
486	51	Single	Mann	1	hoch	13375
487	51	Konkubinat	Frau	2	hoch	6609
490	74	Verheiratet	Mann	3	sehr hoch	14808
492	62	Konkubinat	Mann	2	hoch	12187
493	56	Verheiratet	Mann	2	hoch	11802
494	68	Konkubinat	Mann	2	sehr hoch	21971
495	56	Konkubinat	Frau	4	sehr hoch	12871
496	54	Verheiratet	Mann	5	sehr hoch	11053
497	41	Verheiratet	Mann	3	hoch	6159
498	63	Konkubinat	Mann	3	sehr hoch	21125
499	73	Verheiratet	Mann	2	sehr hoch	29708
500	82	Verheiratet	Mann	3	hoch	14247
501	82	Single	Mann	1	hoch	8366
502	73	Verheiratet	Mann	2	hoch	14554
503	61	Verheiratet	Mann	3	hoch	13209
504	60	Single	Mann	1	hoch	15406
505	69	Verheiratet	Mann	2	sehr hoch	25389
506	54	Konkubinat	Mann	3	tief	2639
507	59	Single	Mann	1	mittel	5829
509	67	Konkubinat	Mann	2	mittel	4774
511	77	Verheiratet	Mann	2	sehr hoch	17955
512	63	Verheiratet	Mann	2	hoch	8547
514	77	Verheiratet	Mann	2	hoch	11457
515	68	Konkubinat	Mann	3	sehr hoch	28812
516	56	Verheiratet	Mann	2	hoch	11000
517	61	Verheiratet	Mann	2	sehr hoch	22916
518	63	Verheiratet	Mann	2	hoch	9076
519	48	Single	Mann	1	mittel	6562
520	39	Single	Frau	1	mittel	2898
521	67	Verheiratet	Mann	2	sehr hoch	20145
523	52	Konkubinat	Frau	3	hoch	5190
524	69	Verheiratet	Mann	2	sehr hoch	16541
525	68	Konkubinat	Frau	2	mittel	5604
526	63	Konkubinat	Mann	2	hoch	7502
527	41	Konkubinat	Mann	2	mittel	7332
529	42	Verheiratet	Frau	3	hoch	12174
530	72	Single	Mann	1	hoch	13172
531	56	Verheiratet	Mann	2	sehr hoch	16662
532	56	Verheiratet	Mann	2	hoch	11187
533	42	Verheiratet	Mann	5	tief	2261
534	68	Verheiratet	Mann	3	hoch	12377
535	50	Konkubinat	Frau	2	hoch	15514
537	64	Single	Mann	1	hoch	7889
538	46	Verheiratet	Mann	2	tief	3222
539	54	Verheiratet	Mann	5	sehr hoch	9972
540	37	Konkubinat	Mann	4	sehr hoch	21056
541	69	Single	Mann	1	mittel	3748
542	49	Konkubinat	Mann	4	hoch	14362
543	68	Konkubinat	Mann	2	hoch	18016
545	68	Verheiratet	Mann	2	sehr hoch	18517
546	60	Verheiratet	Mann	2	sehr hoch	20228
547	63	Konkubinat	Mann	3	hoch	19228
549	60	Verheiratet	Mann	2	hoch	9850
550	44	Verheiratet	Mann	4	mittel	3721
554	56	Konkubinat	Mann	4	hoch	20319
555	55	Verheiratet	Mann	3	sehr hoch	21486
556	84	Verheiratet	Mann	2	hoch	13039
557	72	Verheiratet	Mann	2	hoch	10516
558	40	Verheiratet	Mann	5	tief	3154
560	68	Verheiratet	Mann	2	sehr hoch	15504
561	34	Verheiratet	Mann	2	hoch	8665
563	64	Single	Frau	1	hoch	12159
564	88	Verheiratet	Mann	5	hoch	11599
565	60	Single	Mann	1	mittel	2818
566	45	Verheiratet	Mann	3	hoch	14124
567	42	Verheiratet	Mann	4	tief	2299
568	56	Single	Frau	1	hoch	11792
569	62	Verheiratet	Mann	3	mittel	3312
570	60	Single	Mann	1	sehr hoch	14080
571	66	Verheiratet	Mann	2	hoch	13050
572	85	Single	Mann	1	mittel	6005
573	62	Verheiratet	Mann	4	sehr hoch	17775
574	65	Verheiratet	Mann	2	mittel	7162
575	52	Single	Mann	1	sehr hoch	14371
576	57	Konkubinat	Mann	2	mittel	6855
577	76	Verheiratet	Mann	1	sehr hoch	23790
578	47	Verheiratet	Mann	2	hoch	11330
579	61	Verheiratet	Mann	3	hoch	13026
580	42	Single	Mann	1	hoch	13162
581	81	Konkubinat	Mann	2	hoch	6928
582	50	Verheiratet	Mann	7	tief	4072
583	64	Single	Mann	1	mittel	4255
584	49	Konkubinat	Frau	4	hoch	11219
585	66	Verheiratet	Mann	2	hoch	11840
586	42	Konkubinat	Frau	4	mittel	8833
587	69	Verheiratet	Mann	1	hoch	7488
588	65	Single	Mann	1	mittel	3234
589	37	Single	Mann	1	tief	1555
590	69	Single	Frau	1	hoch	10528
592	46	Konkubinat	Frau	2	mittel	6702
593	83	Verheiratet	Mann	2	sehr hoch	13946
594	58	Verheiratet	Mann	3	mittel	5016
595	71	Verheiratet	Mann	4	sehr hoch	7541
597	75	Verheiratet	Mann	3	sehr hoch	28408
599	62	Verheiratet	Mann	2	hoch	10894
600	72	Verheiratet	Mann	2	hoch	14970
601	67	Single	Mann	1	hoch	15832
602	66	Verheiratet	Mann	2	sehr hoch	26901
604	42	Konkubinat	Frau	3	mittel	4964
605	50	Konkubinat	Mann	2	sehr hoch	22357
606	55	Konkubinat	Frau	2	hoch	19292
607	72	Verheiratet	Mann	2	sehr hoch	5330
608	50	Single	Frau	1	sehr hoch	21836
609	48	Verheiratet	Mann	3	hoch	15298
611	50	Verheiratet	Mann	4	sehr hoch	12853
612	66	Konkubinat	Mann	3	hoch	9705
613	38	Verheiratet	Mann	4	mittel	6593
616	41	Verheiratet	Frau	3	hoch	4719
617	59	Verheiratet	Mann	4	hoch	16578
618	49	Verheiratet	Mann	2	mittel	5972
619	44	Single	Mann	1	mittel	4329
620	59	Single	Mann	1	mittel	2986
621	43	Verheiratet	Mann	4	tief	2511
622	54	Single	Frau	1	mittel	1956
623	47	Single	Mann	1	hoch	15354
624	50	Verheiratet	Mann	7	sehr hoch	26756
627	59	Konkubinat	Mann	2	sehr hoch	10672
628	40	Verheiratet	Mann	5	sehr hoch	13272
630	58	Single	Frau	1	mittel	6614
631	52	Konkubinat	Mann	2	hoch	18275
632	64	Konkubinat	Mann	3	hoch	17549
636	58	Konkubinat	Frau	3	mittel	5179
637	49	Verheiratet	Frau	5	mittel	5039
639	48	Single	Mann	1	hoch	12918
641	43	Single	Frau	1	mittel	3034
643	69	Verheiratet	Mann	1	sehr hoch	17752
644	45	Single	Mann	1	hoch	5739
646	60	Single	Frau	1	mittel	3662
647	66	Konkubinat	Mann	4	sehr hoch	17888
650	64	Verheiratet	Mann	2	hoch	9507
652	66	Konkubinat	Mann	2	sehr hoch	16615
654	63	Verheiratet	Mann	2	sehr hoch	37753
655	68	Verheiratet	Mann	2	hoch	16413
656	72	Verheiratet	Mann	2	hoch	8314
657	37	Konkubinat	Mann	2	hoch	13234
658	80	Verheiratet	Mann	2	hoch	11520
661	48	Verheiratet	Mann	2	sehr hoch	15177
662	69	Verheiratet	Mann	2	hoch	6192
663	63	Verheiratet	Mann	2	sehr hoch	21470
665	68	Konkubinat	Mann	2	hoch	11922
666	67	Verheiratet	Mann	4	hoch	8287
667	75	Verheiratet	Mann	4	hoch	21886
669	62	Verheiratet	Mann	2	mittel	6599
677	65	Single	Mann	1	hoch	789
678	47	Verheiratet	Mann	2	hoch	13638
679	67	Verheiratet	Mann	2	sehr hoch	23454
681	48	Single	Frau	1	hoch	8240
682	87	Single	Mann	1	hoch	11464
683	81	Konkubinat	Frau	3	sehr hoch	19017
685	87	Verheiratet	Mann	4	hoch	15426
688	72	Konkubinat	Frau	5	hoch	15424
689	56	Verheiratet	Mann	5	hoch	13815
690	65	Verheiratet	Mann	3	sehr hoch	18736
691	80	Konkubinat	Frau	2	hoch	14414
692	87	Verheiratet	Mann	2	mittel	4106
693	57	Verheiratet	Mann	2	sehr hoch	29169
694	64	Konkubinat	Mann	4	sehr hoch	17155
696	56	Verheiratet	Mann	3	sehr hoch	21643
697	40	Verheiratet	Mann	4	tief	2044
698	30	Single	Frau	1	hoch	11451
700	46	Single	Mann	1	mittel	2748
701	63	Single	Mann	1	hoch	15217
703	44	Verheiratet	Mann	3	hoch	11826
709	61	Verheiratet	Mann	4	sehr hoch	19160
710	78	Konkubinat	Mann	2	sehr hoch	14487
711	50	Single	Mann	1	mittel	5919
712	70	Verheiratet	Mann	2	hoch	12359
715	90	Verheiratet	Mann	2	sehr hoch	15845
716	28	Verheiratet	Mann	2	mittel	3653
717	79	Verheiratet	Mann	4	mittel	5944
719	81	Verheiratet	Mann	3	sehr hoch	25766
720	71	Konkubinat	Mann	2	sehr hoch	23612
722	47	Single	Frau	1	mittel	6789
723	67	Verheiratet	Mann	4	hoch	9198
724	63	Verheiratet	Mann	2	hoch	14551
725	65	Single	Mann	1	mittel	5162
728	64	Konkubinat	Mann	3	mittel	6943
730	84	Verheiratet	Mann	2	sehr hoch	14567
731	42	Single	Frau	1	hoch	7342
732	48	Verheiratet	Mann	2	sehr hoch	17625
734	67	Verheiratet	Mann	2	hoch	7180
735	60	Single	Frau	1	mittel	3496
738	77	Konkubinat	Frau	2	hoch	13181
739	76	Verheiratet	Mann	3	sehr hoch	10461
740	47	Verheiratet	Mann	8	hoch	10751
742	62	Verheiratet	Mann	5	hoch	11504
743	68	Konkubinat	Mann	2	hoch	5858
744	36	Konkubinat	Mann	2	mittel	4804
746	54	Verheiratet	Mann	3	mittel	7326
748	43	Konkubinat	Mann	3	mittel	3942
749	83	Konkubinat	Mann	4	mittel	4990
750	39	Verheiratet	Mann	3	mittel	7142
751	46	Verheiratet	Mann	6	tief	1761
752	49	Verheiratet	Mann	5	mittel	7213
753	46	Single	Mann	1	mittel	4849
754	48	Konkubinat	Mann	2	hoch	11473
755	68	Verheiratet	Mann	3	hoch	14182
756	64	Verheiratet	Mann	2	sehr hoch	11450
757	33	Konkubinat	Mann	4	hoch	10195
758	63	Verheiratet	Mann	3	hoch	15222
759	56	Konkubinat	Mann	2	hoch	6966
760	44	Verheiratet	Mann	5	tief	2114
761	62	Verheiratet	Mann	4	sehr hoch	16247
762	64	Konkubinat	Mann	3	sehr hoch	17581
763	61	Verheiratet	Mann	5	hoch	16902
764	43	Konkubinat	Mann	7	tief	1919
765	41	Verheiratet	Mann	3	mittel	4368
766	77	Verheiratet	Mann	7	hoch	16710
769	39	Konkubinat	Mann	3	tief	2316
770	58	Verheiratet	Mann	3	hoch	7478
771	59	Verheiratet	Mann	6	hoch	7752
772	68	Verheiratet	Mann	2	hoch	12498
773	48	Verheiratet	Mann	2	hoch	11629
774	59	Single	Frau	1	mittel	5933
775	73	Konkubinat	Frau	2	sehr hoch	18881
779	44	Verheiratet	Mann	8	mittel	5689
780	75	Verheiratet	Frau	2	mittel	7667
782	77	Verheiratet	Mann	2	mittel	7719
784	53	Single	Mann	1	hoch	13583
785	87	Verheiratet	Mann	2	sehr hoch	11923
786	51	Verheiratet	Mann	4	sehr hoch	12164
788	58	Verheiratet	Mann	2	sehr hoch	22922
790	49	Single	Mann	1	mittel	6701
791	57	Konkubinat	Mann	2	mittel	6574
792	82	Konkubinat	Mann	2	sehr hoch	15105
793	65	Verheiratet	Mann	2	hoch	11007
794	70	Verheiratet	Mann	2	sehr hoch	21909
795	41	Single	Mann	1	tief	1323
796	53	Konkubinat	Frau	2	mittel	4760
797	77	Verheiratet	Frau	2	sehr hoch	19718
798	84	Single	Mann	1	hoch	8934
799	44	Single	Frau	1	tief	2012
800	51	Verheiratet	Mann	4	sehr hoch	18429
801	72	Single	Mann	1	mittel	3391
802	59	Single	Mann	1	sehr hoch	20105
